PROVPLATS_ID,NAMN_PROVPLATS,PROV_KOD_ORIGINAL,PROVTAG_SYFTE,PROVPLATS_MILJO,PROVPLATS_TYP,PROVTAG_DAT,PROVTAG_ORG,ACKR_PROV,PLATTFORM,PROVTAG_MET,DIREKT_BEHA
00105985,Storvindeln,C1969/08009,NMO,SJO-SOTV-RINN,Bakgrund,1969-07,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1969/08010,NMO,SJO-SOTV-RINN,Bakgrund,1969-07-26,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1969/08011,NMO,SJO-SOTV-RINN,Bakgrund,1969-07,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1969/08012,NMO,SJO-SOTV-RINN,Bakgrund,1969-07,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1969/08013,NMO,SJO-SOTV-RINN,Bakgrund,1969-07,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1969/08014,NMO,SJO-SOTV-RINN,Bakgrund,1969-07,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1969/08015,NMO,SJO-SOTV-RINN,Bakgrund,1969-07-21,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1969/08016,NMO,SJO-SOTV-RINN,Bakgrund,1969-07,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1969/08017,NMO,SJO-SOTV-RINN,Bakgrund,1969-07,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1969/08018,NMO,SJO-SOTV-RINN,Bakgrund,1969-07,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1969/08019,NMO,SJO-SOTV-RINN,Bakgrund,1969-07,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1969/08020,NMO,SJO-SOTV-RINN,Bakgrund,1969-07,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1969/08021,NMO,SJO-SOTV-RINN,Bakgrund,1969-07,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1969/08022,NMO,SJO-SOTV-RINN,Bakgrund,1969-07,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1969/08023,NMO,SJO-SOTV-RINN,Bakgrund,1969-07,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1969/08024,NMO,SJO-SOTV-RINN,Bakgrund,1969-07,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1969/08025,NMO,SJO-SOTV-RINN,Bakgrund,1969-07,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1969/08026,NMO,SJO-SOTV-RINN,Bakgrund,1969-07,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1969/08040,NMO,SJO-SOTV-RINN,Bakgrund,1969-05,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1969/08041,NMO,SJO-SOTV-RINN,Bakgrund,1969-05,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1969/08003-08012,NMO,SJO-SOTV-RINN,Bakgrund,1969-01-07,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1970/08062,NMO,SJO-SOTV-RINN,Bakgrund,1970-05,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1970/08063,NMO,SJO-SOTV-RINN,Bakgrund,1970-05,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1970/08049,NMO,SJO-SOTV-RINN,Bakgrund,1970-05,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1970/08050,NMO,SJO-SOTV-RINN,Bakgrund,1970-05,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1970/08051,NMO,SJO-SOTV-RINN,Bakgrund,1970-05,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1970/08052,NMO,SJO-SOTV-RINN,Bakgrund,1970-05,NRM,Nej,SMABAT,Natfiske,FRYST
