PROV_KOD_ORIGINAL,ART,DYNTAXA_TAXON_ID,KON,ANTAL,KOMMENTAR_PROV
C1972/08074,Gadda,206139,,1,
C1972/08075,Gadda,206139,,1,
C1972/08076,Gadda,206139,,1,
C1972/08077,Gadda,206139,,1,
C1972/08078,Gadda,206139,,1,
C1972/08079,Gadda,206139,,1,
C1972/08080,Gadda,206139,,1,
C1972/08096,Gadda,206139,,1,
C1972/08097,Gadda,206139,,1,
C1972/08100,Gadda,206139,,1,
C1972/08081-08095,Gadda,206139,X,15,
C1972/08088,Gadda,206139,,1,
C1972/08089,Gadda,206139,,1,
C1972/08090,Gadda,206139,,1,
C1972/08091,Gadda,206139,,1,
C1972/08092,Gadda,206139,,1,
C1972/08096-08105,Gadda,206139,X,10,
C1972/08093,Gadda,206139,,1,
C1972/08094,Gadda,206139,,1,
C1973/08085,Gadda,206139,,1,
C1973/08051,Gadda,206139,,1,
C1973/08052,Gadda,206139,,1,
C1973/08053,Gadda,206139,,1,
C1973/08054,Gadda,206139,,1,
C1973/08055,Gadda,206139,,1,
C1973/08056,Gadda,206139,,1,
C1973/08057,Gadda,206139,,1,
C1973/08058,Gadda,206139,,1,
C1973/08059,Gadda,206139,,1,
C1973/08060,Gadda,206139,,1,
C1973/08061,Gadda,206139,,1,
C1973/08062,Gadda,206139,,1,
C1973/08063,Gadda,206139,,1,
C1973/08064,Gadda,206139,,1,
C1973/08065,Gadda,206139,,1,
C1973/08066,Gadda,206139,,1,
C1973/08067,Gadda,206139,,1,
C1973/08068,Gadda,206139,,1,
C1973/08069,Gadda,206139,,1,
C1973/08070,Gadda,206139,,1,
C1973/08071,Gadda,206139,,1,
C1973/08072,Gadda,206139,,1,
C1973/08073,Gadda,206139,,1,
C1973/08074,Gadda,206139,,1,
C1973/08075,Gadda,206139,,1,
C1973/08076,Gadda,206139,,1,
C1973/08077,Gadda,206139,,1,
C1973/08078,Gadda,206139,,1,
C1973/08079,Gadda,206139,,1,
C1973/08080,Gadda,206139,,1,
C1973/08086,Gadda,206139,,1,
C1973/08087,Gadda,206139,,1,
C1973/08088,Gadda,206139,,1,
C1973/08089,Gadda,206139,,1,
C1973/08090,Gadda,206139,,1,
C1973/08081,Gadda,206139,,1,
C1973/08082,Gadda,206139,,1,
C1973/08091-08105,Gadda,206139,X,15,
C1973/08083,Gadda,206139,,1,
C1973/08084,Gadda,206139,,1,
C1974/08067,Gadda,206139,,1,
C1974/08051,Gadda,206139,,1,
C1974/08052,Gadda,206139,,1,
C1974/08053,Gadda,206139,,1,
C1974/08054,Gadda,206139,,1,
C1974/08055,Gadda,206139,,1,
C1974/08056,Gadda,206139,,1,
C1974/08057,Gadda,206139,,1,
C1974/08058,Gadda,206139,,1,
C1974/08059,Gadda,206139,,1,
C1974/08060,Gadda,206139,,1,
C1974/08068,Gadda,206139,,1,
C1974/08069,Gadda,206139,,1,
C1974/08070,Gadda,206139,,1,
C1974/08071,Gadda,206139,,1,
C1974/08061,Gadda,206139,,1,
C1974/08062,Gadda,206139,,1,
C1974/08063,Gadda,206139,,1,
C1974/08064,Gadda,206139,,1,
C1974/08072-08081,Gadda,206139,X,10,
C1974/08065,Gadda,206139,,1,
C1974/08066,Gadda,206139,,1,
C1975/08051,Gadda,206139,,1,
C1975/08052,Gadda,206139,,1,
C1975/08053,Gadda,206139,,1,
C1975/08054,Gadda,206139,,1,
C1975/08055,Gadda,206139,,1,
C1975/08056,Gadda,206139,,1,
C1975/08057,Gadda,206139,,1,
C1975/08058,Gadda,206139,,1,
C1975/08059,Gadda,206139,,1,
C1975/08065,Gadda,206139,,1,
C1975/08066,Gadda,206139,,1,
C1975/08067,Gadda,206139,,1,
C1975/08068,Gadda,206139,,1,
C1975/08069,Gadda,206139,,1,
C75/,Gadda,206139,,1,
C1975/08060,Gadda,206139,,1,
C1975/08061,Gadda,206139,,1,
C1975/08062,Gadda,206139,,1,
C1975/08063,Gadda,206139,,1,
C1975/08064,Gadda,206139,,1,
C1976/08051,Gadda,206139,,1,
C1976/08052,Gadda,206139,,1,
C1976/08053,Gadda,206139,,1,
C1976/08054,Gadda,206139,,1,
C1976/08055,Gadda,206139,,1,
C1976/08056,Gadda,206139,,1,
C1976/08057,Gadda,206139,,1,
C1976/08058,Gadda,206139,,1,
C1976/08059,Gadda,206139,,1,
C1976/08063,Gadda,206139,,1,
C1976/08064,Gadda,206139,,1,
C1976/08065,Gadda,206139,,1,
C1976/08066,Gadda,206139,,1,
C1976/08067,Gadda,206139,,1,
C1976/08068,Gadda,206139,,1,
C1976/08069,Gadda,206139,,1,
C76/,Gadda,206139,,1,
C1976/08060,Gadda,206139,,1,
C1976/08061,Gadda,206139,,1,
C1976/08062,Gadda,206139,,1,
C1977/08048,Gadda,206139,,1,
C1977/08049,Gadda,206139,,1,
C1977/08050,Gadda,206139,,1,
C1977/08051,Gadda,206139,,1,
C1977/08052,Gadda,206139,,1,
C1977/08026,Gadda,206139,,1,
C1977/08027,Gadda,206139,,1,
C1977/08028,Gadda,206139,,1,
C1977/08029,Gadda,206139,,1,
C1977/08030,Gadda,206139,,1,
C1977/08031,Gadda,206139,,1,
C1977/08032,Gadda,206139,,1,
C1977/08033,Gadda,206139,,1,
C1977/08034,Gadda,206139,,1,
C1977/08035,Gadda,206139,,1,
C1977/08036,Gadda,206139,,1,
C1977/08037,Gadda,206139,,1,
C1977/08038,Gadda,206139,,1,
C1977/08039,Gadda,206139,,1,
C1977/08040,Gadda,206139,,1,
C1977/08041,Gadda,206139,,1,
C1977/08042,Gadda,206139,,1,
C1977/08043,Gadda,206139,,1,
C1977/08044,Gadda,206139,,1,
C1977/08053,Gadda,206139,,1,
C1977/08054,Gadda,206139,,1,
C1977/08055,Gadda,206139,,1,
C1977/08056,Gadda,206139,,1,
C1977/08057,Gadda,206139,,1,
C1977/08058,Gadda,206139,,1,
C1977/08059,Gadda,206139,,1,
C77/,Gadda,206139,,1,
C1977/08045,Gadda,206139,,1,
C1977/08046,Gadda,206139,,1,
C1977/08047,Gadda,206139,,1,
C1978/08121,Gadda,206139,,1,
C1978/08122,Gadda,206139,,1,
C1978/08123,Gadda,206139,,1,
C1978/08124,Gadda,206139,,1,
C1978/08125,Gadda,206139,,1,
C1978/08126,Gadda,206139,,1,
C1978/08127,Gadda,206139,,1,
C1978/08128,Gadda,206139,,1,
C1978/08129,Gadda,206139,,1,
C1978/08130,Gadda,206139,,1,
C1978/08131,Gadda,206139,,1,
